datetime_local,water_temp_degC,do_mgL,batt_volt
2019-10-09 14:38:00,22.46,10.13,3.20
2019-10-09 14:39:00,22.46,10.20,3.20
2019-10-09 14:40:00,22.44,10.26,3.20
2019-10-09 14:41:00,22.46,10.39,3.20
2019-10-09 14:42:00,22.47,10.28,3.20
2019-10-09 14:43:00,22.44,10.17,3.20
2019-10-09 14:44:00,22.42,10.09,3.20
2019-10-09 14:45:00,22.43,10.12,3.20
2019-10-09 14:46:00,22.41,10.03,3.20
2019-10-09 14:47:00,22.48,10.04,3.20
2019-10-09 14:48:00,22.46,10.05,3.20
2019-10-09 14:49:00,22.49,10.04,3.20
2019-10-09 14:50:00,22.48,10.01,3.20
2019-10-09 14:51:00,22.43,9.99,3.20
2019-10-09 14:52:00,22.45,9.94,3.20
2019-10-09 14:53:00,22.43,9.93,3.20
2019-10-09 14:54:00,22.43,10.05,3.20
2019-10-09 14:55:00,22.50,10.03,3.20
2019-10-09 14:56:00,22.51,10.07,3.20
2019-10-09 14:57:00,22.44,9.87,3.20
2019-10-09 14:58:00,22.48,9.95,3.20
2019-10-09 14:59:00,22.45,10.10,3.20
2019-10-09 15:00:00,22.47,10.06,3.20
2019-10-09 15:01:00,22.43,9.98,3.20
2019-10-09 15:02:00,22.46,9.91,3.20
2019-10-09 15:03:00,22.44,9.90,3.20
2019-10-09 15:04:00,22.45,9.90,3.20
2019-10-09 15:05:00,22.47,9.92,3.20
2019-10-09 15:06:00,22.47,9.97,3.20
2019-10-09 15:07:00,22.48,9.99,3.20
2019-10-09 15:08:00,22.48,10.04,3.20
2019-10-09 15:09:00,22.50,10.06,3.20
2019-10-09 15:10:00,22.54,10.31,3.20
2019-10-09 15:11:00,22.51,10.08,3.20
2019-10-09 15:12:00,22.52,10.64,3.20
2019-10-09 15:13:00,22.48,10.61,3.20
2019-10-09 15:14:00,22.50,10.67,3.20
2019-10-09 15:15:00,22.52,10.52,3.20
2019-10-09 15:16:00,22.54,10.43,3.20
2019-10-09 15:17:00,22.57,10.35,3.20
2019-10-09 15:18:00,22.54,10.31,3.20
2019-10-09 15:19:00,22.57,10.52,3.20
2019-10-09 15:20:00,22.55,10.94,3.20
2019-10-09 15:21:00,22.54,10.97,3.20
2019-10-09 15:22:00,22.54,11.21,3.20
2019-10-09 15:23:00,22.59,11.29,3.20
2019-10-09 15:24:00,22.59,11.29,3.20
2019-10-09 15:25:00,22.57,11.34,3.20
2019-10-09 15:26:00,22.58,11.41,3.20
2019-10-09 15:27:00,22.60,11.46,3.20
2019-10-09 15:28:00,22.54,11.08,3.20
2019-10-09 15:29:00,22.56,10.57,3.20
2019-10-09 15:30:00,22.56,10.48,3.20
2019-10-09 15:31:00,22.54,10.59,3.20
2019-10-09 15:32:00,22.57,10.89,3.20
2019-10-09 15:33:00,22.55,10.45,3.20
2019-10-09 15:34:00,22.51,10.26,3.20
2019-10-09 15:35:00,22.61,10.20,3.20
2019-10-09 15:36:00,22.59,10.18,3.20
2019-10-09 15:37:00,22.60,10.07,3.20
2019-10-09 15:38:00,22.64,9.98,3.20
2019-10-09 15:39:00,22.63,9.88,3.20
2019-10-09 15:40:00,22.59,9.92,3.20
2019-10-09 15:41:00,22.68,10.18,3.20
2019-10-09 15:42:00,22.61,10.12,3.20
2019-10-09 15:43:00,22.64,10.12,3.20
2019-10-09 15:44:00,22.63,10.15,3.20
2019-10-09 15:45:00,22.62,10.59,3.20
2019-10-09 15:46:00,22.61,10.44,3.20
2019-10-09 15:47:00,22.64,10.41,3.20
2019-10-09 15:48:00,22.66,10.55,3.20
2019-10-09 15:49:00,22.65,10.62,3.20
2019-10-09 15:50:00,22.63,10.80,3.20
2019-10-09 15:51:00,22.69,10.82,3.20
2019-10-09 15:52:00,22.68,10.99,3.20
2019-10-09 15:53:00,22.62,11.09,3.20
2019-10-09 15:54:00,22.71,10.81,3.20
2019-10-09 15:55:00,22.70,10.61,3.20
2019-10-09 15:56:00,22.69,10.70,3.20
2019-10-09 15:57:00,22.65,10.65,3.20
2019-10-09 15:58:00,22.69,10.68,3.20
2019-10-09 15:59:00,22.68,10.71,3.20
2019-10-09 16:00:00,22.70,10.76,3.20
2019-10-09 16:01:00,22.73,10.86,3.20
2019-10-09 16:02:00,22.70,10.66,3.20
2019-10-09 16:03:00,22.70,10.84,3.20
2019-10-09 16:04:00,22.73,10.77,3.20
2019-10-09 16:05:00,22.80,10.51,3.20
2019-10-09 16:06:00,22.71,10.89,3.20
2019-10-09 16:07:00,22.69,11.02,3.20
2019-10-09 16:08:00,22.73,10.66,3.20
2019-10-09 16:09:00,22.77,10.40,3.20
2019-10-09 16:10:00,22.76,10.29,3.20
2019-10-09 16:11:00,22.82,10.27,3.20
2019-10-09 16:12:00,22.85,10.28,3.20
2019-10-09 16:13:00,22.81,10.32,3.20
